BlockSort
n,Dupes,ManyDupes,PartiallySorted,Random,Reversed,Sorted
16,0,0,0,0,0,0
32,0,0,0,0,0,0
64,0,0,0,0,0,0
128,0,0,0.3,0,0.1,0.1
256,0,0,0.1,0,0,0
512,0,0,0,0,0,0
1024,0,0,0.1,0,0,0
2048,0.1,0,2.6,0.2,0.2,0.2
4096,0.1,0.1,0,0.2,0.1,0.3
8192,0.6,0.4,2.2,1.3,0.5,1
16384,3.3,3.2,7.4,4.3,3.4,3
32768,10.4,5.9,21,9.4,10.9,6
65536,15.9,19.3,32.8,27.2,21.3,18.6
131072,41.1,31.6,90.3,46.6,55.8,34
262144,78.4,89.4,167.3,110.7,129.7,86.4
524288,164.2,190.4,311,312.1,298.2,193.3
1048576,444.9,450.7,562.6,719.9,733.3,451.5
2097152,1030.2,1064.1,1541.3,1800.7,1370.4,1298.4
4194304,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
8388608,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
16777216,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
33554432,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
67108864,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

BubbleSort
n,Dupes,ManyDupes,PartiallySorted,Random,Reversed,Sorted
16,0,0,0,0,0,0
32,0,0,0,0,0,0
64,0,0,0,0,0,0
128,0,0.1,0,0,0,0
256,0.1,0,0.2,0.2,0,0
512,0.4,0.2,0.5,0.1,0.1,0.1
1024,0.6,0.5,0.6,0.5,0.6,0.5
2048,3.4,3.3,3.4,3.3,3,3.7
4096,15.3,13.7,16,15.9,15,15
8192,68.9,68.1,68.9,69.4,69.4,66.5
16384,303.3,303.1,325.6,326.1,305.1,301
32768,1363.5,1363.8,1410.2,1407.6,1340,1328.7
65536,5928.7,5891.6,6015.1,6020.6,5863.7,5881.5
131072,25204.8,25087,24492.8,24421,24867.8,24838.9
262144,103250.4,103069.6,102715.3,102539.1,103381.1,103063.3

CocktailShakerSort
n,Dupes,ManyDupes,PartiallySorted,Random,Reversed,Sorted
16,0,0,0,0,0,0
32,0,0,0,0,0,0
64,0,0,0,0,0,0
128,0.1,0,0.1,0,0,0
256,0,0,0,0,0,0
512,0.1,0.1,0.1,0.2,0,0.1
1024,0.7,0.5,0.6,0.6,0.4,0.6
2048,2.8,2.9,2.8,3.1,2.9,4.6
4096,13.7,13.3,13.4,13.4,12.8,15.6
8192,59.2,59.2,59.1,57.8,59.5,66.8
16384,260.1,255.8,257.4,255.2,259.1,270.2
32768,1129.9,1125.6,1150.4,1083.1,1087.8,1114.4
65536,4640.8,4646.6,4666.5,4534.6,4716.1,4759.3
131072,19259.3,19288.8,19295.8,19416.4,19335.4,19256.1
262144,79387.5,79605,78277.8,78066.8,77955.6,78585

CycleSort
n,Dupes,ManyDupes,PartiallySorted,Random,Reversed,Sorted
16,0,0,0,0,0,0
32,0.1,0,0,0,0,0
64,0,0,0,0,0.1,0
128,0,0,0.1,0,0.1,0
256,0.1,0,0.1,0.2,0.2,0.1
512,1.5,0.3,0.3,0.5,0.5,0.2
1024,1.3,1.6,1.7,1.5,1.9,1.8
2048,9.6,6.4,7.5,7.9,8.1,7.9
4096,43.4,30.8,35.7,34.8,36.1,33.8
8192,156.6,FAILED,150.2,141.8,152.7,138.7
16384,597.3,FAILED,658.1,562.5,603,597.9
32768,2376,FAILED,2432.8,2416.4,2375.8,2365.1
65536,9576.4,FAILED,9909.5,10229.1,9703,9629.4
131072,37430.8,FAILED,38799.1,38940.3,37835.9,37599.6
262144,FAILED,FAILED,133026,FAILED,FAILED,FAILED

ExchangeSort
n,Dupes,ManyDupes,PartiallySorted,Random,Reversed,Sorted
16,0,0,0,0,0,0
32,0,0,0,0,0,0
64,0,0,0,0,0,0
128,0,0,0,0,0,0
256,0,0,0.1,0,0.1,0.1
512,0.2,0,0,0.1,0.1,0.1
1024,0.6,0.7,0.3,0.1,0.8,0.6
2048,3.2,3.3,3,2.8,2.9,2.8
4096,15.8,15.2,18.1,14.3,13.3,15.2
8192,63.6,83.1,68.6,69.6,73.8,76.7
16384,355.9,333.1,295.3,319.7,294.9,287.1
