Dupes
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
128,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0.1,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0
512,0,0.4,0.1,1.5,0.2,0.1,0,0,0.1,0.1,0,0,0.4,0,0,0,0,0.1,0
1024,0,0.6,0.7,1.3,0.6,0.1,0.1,0,0.1,0.1,0,0,0.3,0.3,0,0.5,0.3,0,0.1
2048,0.1,3.4,2.8,9.6,3.2,0,0.4,0,0.4,0.2,0,0.1,0.4,1.3,0.2,1.8,14.9,0.1,0.1
4096,0.1,15.3,13.7,43.4,15.8,0.3,2.4,0.2,1,1.1,0.1,0.3,1,6.7,0.3,8,36.5,0.1,0.8
8192,0.6,68.9,59.2,156.6,63.6,0.6,11.4,0.4,2.5,FAILED,0.2,0.2,2,26.7,0.4,FAILED,FAILED,0.2,3
16384,3.3,303.3,260.1,597.3,355.9,1.3,51.4,0.5,6.1,FAILED,0.6,0.8,5.2,97.6,2.6,FAILED,FAILED,2.1,6.7
32768,10.4,1363.5,1129.9,2376,1336.3,3.5,187.4,2.2,13.4,FAILED,1.8,1.5,11.3,411,8.4,FAILED,FAILED,5.9,17.3
65536,15.9,5928.7,4640.8,9576.4,5762.8,9.2,747,5,26.6,FAILED,4.7,3.7,23.6,1607.9,22.8,FAILED,FAILED,15.4,36.3
131072,41.1,25204.8,19259.3,37430.8,24024.5,19.2,2943,10.5,60.2,FAILED,10.5,8.7,48.7,6388.2,48.7,FAILED,FAILED,27.3,93
262144,78.4,103250.4,79387.5,FAILED,98382.9,48,11924.2,22.3,117.1,FAILED,22.5,17.7,97.7,25863.7,124.6,FAILED,FAILED,58.6,283.6
524288,164.2,125.3,46,261.9,FAILED,46.2,37.9,197.1,309.3,FAILED,FAILED,128.9,744.4
1048576,444.9,307,97.9,490.7,FAILED,97.7,82,359.7,834,FAILED,FAILED,285.2,1844.8
2097152,1030.2,722.5,204.7,963,FAILED,195.6,177.9,759.5,2353.7,FAILED,FAILED,526,4177.7
4194304,FAILED,1825.2,417.8,1976.7,FAILED,404.9,363.4,1460.5,FAILED,FAILED,FAILED,FAILED,10169.7
8388608,FAILED,4246.4,845.5,4045,FAILED,852,759.7,2952.3,FAILED,FAILED,FAILED,FAILED,21600.8
16777216,FAILED,10298.5,1761.1,8063.9,FAILED,1765,1551.6,5795.2,FAILED,FAILED,FAILED,FAILED,45873.3
33554432,FAILED,22742.9,3631.2,17338.5,FAILED,3650.3,3290,11569.1,FAILED,FAILED,FAILED,FAILED,FAILED
67108864,FAILED,47366.7,7402.5,34680.5,FAILED,7582.5,6841.6,23293.5,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,FAILED,69928.6,FAILED,FAILED,FAILED,45636.4,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

ManyDupes
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
32,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1
128,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
256,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2
512,0,0.2,0.1,0.3,0,0.1,0,0,0.2,0.1,0,0,0.1,0.2,0,0.2,0.1,0,0
1024,0,0.5,0.5,1.6,0.7,0,0,0.1,0.2,0,0,0.1,0.2,0.5,0,0.5,0.2,0,0.3
